Model,R2,MAE,RMSE,y_pred
Random Forest,0.849,0.15,0.32,"[0.58229554 0.8081449  0.0801559  1.4417412  0.84137346 0.39664727
 0.32947592 0.34261315 0.60095427 0.35628297 0.31068658 0.20099795
 0.40684056 0.37306905 2.93625571 0.89112807 0.8610175  1.12770013
 0.1532956  1.1424901  0.09693789 0.20898668 1.48183756 0.50407726
 1.40983406 0.23361857 0.54710329 0.57305361 0.18136373 0.68731653
 0.56482723 0.53631745 1.13731614 0.78416355 0.12051895 0.16701535
 0.82838489 0.63225488 0.40239185 0.71507305 0.70144804 0.36681423
 0.43429891 0.7748729  0.16047036 1.75089939 1.12128815 0.07831152
 0.78897195 0.34504827 0.41169607 0.70549578 0.84251449 0.95701377
 0.87675469 0.81495938 2.25617736 0.20091727 0.57038834 0.09907512
 0.60361023 0.33190918 0.37636401 0.78869314 1.18459456 0.84545721
 1.54920082 0.75541215 0.11728356 0.58337027 0.7812969  0.52530938
 0.58183994 0.94204505 0.23401686 0.73224212 0.6136629  0.97670921
 0.26567704 0.10975683 0.84162004 1.01774084 0.77611494 0.51792849
 0.75603265 0.62257778 0.12478982 0.43074415 0.60585786 1.17669019
 0.1649837  0.63097235 0.43807203 0.10896605 0.95131286 0.27895381
 1.20499791 2.25163278 0.35354438 0.60502141 0.32630438 0.62570287
 0.5445582  1.10750285 0.6038887  0.54013168 0.55530508 0.25551492
 1.95489943 0.14010696 0.6427287  0.37134788 3.06715937 0.24646245
 0.82742834 0.60142405 0.04477076 0.4873111  0.69791996 0.75281585
 0.87468592 0.09650135 0.23514065 0.48372967 0.56648469 0.06544942
 0.74262563 0.48773962 0.11626612 0.11572082 0.56055396 0.91351785
 0.3216386  0.02881499 0.71822716 0.41846302 0.65244872 0.63873743
 0.07960358 0.41159228 1.54886708 0.60714304 0.09189829 1.78555158
 0.14392872 0.15184557 3.66924217 0.28270817 0.56151286 0.31021718
 0.47383397 0.61767882 1.72658084 1.6453445  0.81762071 0.22315572
 0.31569049 0.16881088 0.69361788 0.58472781 0.09435917 0.40248038
 0.3344794  2.45786741 0.69272079 0.87180459 0.51349579 0.57740676
 3.34666991 0.54794867 0.16796081 0.59921785 0.06517451 0.25177894
 2.22329501 1.5008922  0.95495719 0.54771727 0.83419214 2.43529818
 0.13917925 0.04789157 1.09880798 1.1228289  0.63355979 0.5848637
 0.68877318 0.13747015 0.33963437 0.36675289 0.07205318 1.08953824
 0.13026228 0.94543656 1.07124592 0.10736291 0.89954613 0.87558927
 0.13977613 0.2604098  0.12887676 0.09989752 1.95656995 0.56159672
 0.08615396 0.39781255 0.09759403 0.05206703 0.53259134 0.45360978
 1.13332757 0.46146648 0.23180419 0.59065974 0.07438905 0.77952142
 0.81630632 0.91564508 0.2447743  0.32417089 0.39717023 0.58343608
 0.22657916 1.07280167 0.06616219 0.06826732 0.98826724 0.81435305
 0.43954253 1.23488403 1.65511839 0.50470488 0.62029781 0.36474672
 0.45524193 0.10697599 0.82292668 0.38227594 0.23752577 0.60506798
 0.21470893 0.1875722  0.10704475 2.31137034 1.20281147 1.3295188
 0.74693854 0.0793891  0.54100976 0.08561524 0.97655444 0.13045794
 0.67258583 0.89467558 1.46480586 0.26163337 1.13593284 0.71725247
 0.55837711 3.00052021 0.15018039 0.33033837 1.25199358 0.57887546
 0.66106031 0.56160398 0.29608006 0.19167195 0.7294547  0.27133386
 0.75796891 0.74827949 0.06664846 0.34643064 0.59977927 0.12081124
 0.82358784 0.7645523  0.34989349 0.33066137 0.56420878 0.8166679
 0.11819508 0.73472374 0.04287601 0.55193194 0.31233327 0.13566641
 3.29211295 0.09525428 0.2006094  0.61853027 0.05643764 1.09066544
 1.77393362 0.74491305 0.69861228 0.34443247 0.1277152  0.77691138
 0.04982047 0.51654986 0.14614227 0.88220215 0.42695971 1.22843266
 0.70142944 0.7304003  3.80669956 0.7726985  1.27066693 1.05652051
 0.57321151 0.13788198 0.06324271 0.79571429 0.4486419  0.75207437
 0.5946046  0.14617675 0.84951852 0.55286204 1.03603609 0.40948477
 0.18275727 0.79273755 2.05021832 3.05242673 0.31344499 0.78254543
 0.09978642 0.20469078 0.73530249 0.75790643 0.9814497  0.11616999
 1.05878276 0.89065118 0.13890194 0.33371736 0.73084081 0.61195213
 0.22223673 0.09185324 0.386698   0.17708436 0.51871986 0.65729316
 0.2710613  0.58778097 0.06600266 0.77968036 0.22903594 0.75785353
 1.13137165 1.10588899 0.16716176 0.76683715 0.36588553 0.41515585
 0.41250401 0.15397369 0.8162791  0.2006379  0.49561432 0.49233095
 0.32679778 2.30791549 0.12803774 0.46156629 0.0953982  0.81599824
 0.57540706 0.06319327 1.87570876 0.07301932 0.51929996 0.98990574
 0.74650086 0.68079064 0.71798169 0.33856081 0.77706577 0.42940539
 0.26037532 2.81350652 0.27466335 0.61080036 0.49446723 1.01025346
 0.14058531 0.65485267]"
Extra Trees,0.971,0.05,0.14,"[5.96070302e-01 8.64682395e-01 2.07164206e-02 1.56792061e+00
 8.85350155e-01 4.20830696e-01 3.27198380e-01 2.99809660e-01
 6.67551336e-01 3.50771686e-01 3.23594767e-01 1.76847407e-01
 3.95040211e-01 3.78497297e-01 3.77597425e+00 9.49271441e-01
 9.98430552e-01 1.17491208e+00 1.64592755e-02 1.33486974e+00
 4.57886008e-02 3.85350230e-02 1.59317856e+00 5.03748924e-01
 1.13046899e+00 2.23740966e-01 5.75369109e-01 6.39957824e-01
 9.26016068e-02 7.29218656e-01 1.38232399e-01 5.25737079e-01
 1.14711486e+00 8.09238439e-01 6.10040757e-03 1.00381798e-01
 8.70552768e-01 6.71163573e-01 4.03960721e-01 6.79781250e-01
 7.44068294e-01 3.75953676e-01 4.39881615e-01 8.28434332e-01
 9.49647021e-03 7.35103354e-01 9.81221239e-01 6.82040204e-03
 8.22259292e-01 3.55636145e-01 4.78131305e-01 7.08367443e-01
 8.73105555e-01 1.00667243e+00 9.92167577e-01 4.70299645e-01
 3.00884376e+00 1.54146698e-02 5.71860298e-01 4.62205029e-02
 5.90947103e-01 3.29661927e-01 3.72081051e-01 7.08378161e-01
 1.01582614e+00 8.79617639e-01 1.50796121e+00 7.97340025e-01
 5.15236640e-02 6.23276920e-01 8.77057325e-01 5.12615022e-01
 5.49221042e-01 1.02453094e+00 7.60973590e-04 7.84517920e-01
 7.18959756e-01 1.06339980e+00 2.61318628e-01 5.38131807e-03
 1.00040434e+00 1.12158277e+00 6.47444221e-01 5.61857985e-01
 9.00455496e-01 5.78053215e-01 5.53169324e-02 4.32531600e-01
 6.16715894e-01 1.21823785e+00 1.37017521e-01 6.67084344e-01
 3.74032207e-01 5.09066542e-03 9.16998657e-01 1.06674659e-02
 1.22160666e+00 2.86008312e+00 3.52912030e-01 1.24302559e-01
 7.97403345e-02 8.32530470e-01 4.86636143e-01 1.24236401e+00
 6.03238074e-01 4.82362397e-01 2.21084924e-01 6.32933463e-02
 2.09977676e+00 4.78813964e-02 3.12754446e-01 3.80301062e-01
 2.80725851e+00 1.03462201e-01 7.53911366e-01 5.09458283e-01
 3.73464647e-03 1.14230102e-01 6.74929327e-01 5.87491668e-01
 1.03893630e+00 4.88238020e-02 3.83040595e-02 4.42344248e-01
 5.47863149e-01 2.86389213e-03 8.48161126e-01 5.13623938e-01
 6.79890813e-02 6.84333978e-02 4.59618657e-01 9.83842138e-01
 1.15577378e-01 3.44737999e-04 8.25672435e-01 4.10158404e-01
 6.18931793e-01 6.30762981e-01 5.43446752e-04 3.87333491e-01
 2.20245908e+00 5.74410962e-01 4.45583377e-02 2.87799389e+00
 6.01363415e-02 8.47754957e-03 4.13330287e+00 2.19443915e-01
 5.56875707e-01 4.22676996e-01 2.87239327e-01 6.60741721e-01
 1.89955512e+00 1.85221356e+00 4.33508724e-01 1.40034396e-01
 3.15121767e-01 5.67143196e-02 6.59096138e-01 5.97363059e-01
 7.57520830e-03 3.91644267e-01 3.03438847e-01 2.24747300e+00
 6.49538121e-01 8.97050967e-01 5.32068481e-01 5.57282440e-01
 4.32443501e+00 5.60912759e-01 8.71627293e-03 5.94256797e-01
 2.48326054e-03 1.05398691e-01 3.33828726e+00 2.19386450e+00
 1.10643577e+00 6.08214844e-01 7.62706870e-01 4.14573823e+00
 1.35810122e-01 1.87163712e-04 1.28858213e+00 8.72552296e-01
 5.80392920e-01 5.67054222e-01 7.37258668e-01 1.16924989e-01
 3.39387219e-01 3.59362125e-01 3.28832599e-02 1.12706063e+00
 4.77215127e-02 1.19460806e+00 1.08834686e+00 1.02793499e-02
 9.43185821e-01 1.06463596e+00 9.67273718e-02 2.82921200e-01
 2.00441697e-02 3.32887085e-02 2.15827652e+00 1.75863881e-01
 4.17387068e-02 1.93089346e-01 3.82579231e-02 2.22401106e-03
 6.07548326e-01 1.83957012e-01 1.14475941e+00 4.37017805e-01
 1.60309035e-01 5.93251575e-01 3.24371316e-02 8.45395952e-01
 8.42802783e-01 9.10591837e-01 1.22222315e-01 3.06605461e-01
 4.04234010e-01 6.26693551e-01 9.69730851e-02 1.12523149e+00
 1.41319849e-02 6.31880257e-03 4.78488111e-01 8.72115937e-01
 2.90400321e-01 1.25805995e+00 8.76610477e-01 5.07014925e-01
 3.15338642e-01 3.64314156e-01 4.22997489e-01 4.86352902e-02
 9.01231662e-01 3.84730140e-01 1.34975616e-01 5.73501567e-01
 7.63482190e-02 1.39388725e-01 4.18818554e-02 2.57968279e+00
 1.13692033e+00 1.36904283e+00 7.45412724e-01 3.69703431e-03
 5.29421903e-01 1.97999713e-02 6.93130568e-01 6.34214178e-02
 6.88101552e-01 1.03622757e+00 1.68993584e+00 7.49272785e-02
 1.11684600e+00 7.39152594e-01 5.66077422e-01 3.77033054e+00
 1.07424157e-01 3.63882650e-01 1.32428176e+00 6.72716382e-01
 4.72198428e-01 5.29345496e-01 2.49628856e-01 1.22059224e-01
 7.67590350e-01 2.89626131e-01 7.70627026e-01 7.38807318e-01
 1.78369113e-02 4.86760861e-02 6.78259571e-01 4.94233514e-02
 7.64264696e-01 7.73243818e-01 3.38830203e-01 2.94480605e-01
 3.49474353e-01 3.99715040e-01 7.63636627e-02 7.21902865e-01
 3.75818580e-03 5.08828963e-01 3.20189168e-01 5.66006029e-03
 3.85686876e+00 2.68927979e-02 1.31480942e-01 6.44875835e-01
 2.36720427e-02 1.07988831e+00 1.91368890e+00 2.26284335e-01
 7.26034322e-01 3.20721060e-01 1.68719332e-02 8.36100499e-01
 3.77051843e-05 5.28788388e-01 1.45475563e-01 5.06526507e-01
 4.38798880e-01 1.41913715e+00 6.85513615e-01 6.09236989e-01
 4.76625521e+00 7.65725227e-01 1.17372586e+00 1.10995304e+00
 5.67315997e-01 2.61364676e-02 2.51271763e-02 8.30334383e-01
 4.73502053e-01 7.61903018e-01 5.98310706e-01 1.21667196e-01
 8.76743399e-01 1.72631746e-01 1.05486556e+00 4.07752219e-01
 1.00266214e-01 7.59231684e-01 2.43572096e+00 3.48837665e+00
 1.97957573e-02 8.30518780e-01 4.24593452e-02 1.39077330e-01
 6.67415578e-01 8.22799169e-01 9.00010988e-01 5.78334820e-02
 1.07216701e+00 9.91185609e-01 4.85251618e-02 3.36942298e-01
 7.22445491e-01 6.23279795e-01 1.18968460e-01 4.25450506e-02
 4.89011831e-01 3.41252414e-02 6.96934358e-02 2.06840261e-01
 6.43264699e-02 5.07561504e-01 3.51982003e-03 7.92180497e-01
 2.13029627e-01 7.01764657e-01 1.17962159e+00 1.28715708e+00
 7.12751023e-03 7.49206452e-01 3.67597294e-01 4.01942702e-01
 4.28745135e-01 2.22696947e-02 8.79221450e-01 1.03199695e-01
 5.15272918e-01 4.96449342e-01 1.29279259e-01 2.74960246e+00
 3.71203004e-02 4.34223208e-01 4.03688627e-02 7.38306667e-01
 5.69356028e-01 4.48192944e-03 2.06201715e+00 2.49398904e-02
 2.74075279e-01 1.10697755e+00 5.85081316e-01 6.33179933e-01
 7.65194344e-01 3.38811055e-01 5.76123211e-01 4.32906434e-01
 2.95068975e-01 2.51098295e+00 9.38059008e-02 6.15067694e-01
 4.91875563e-01 1.26813664e+00 5.70402471e-02 6.38226004e-01]"
Gradient Boosting,0.961,0.06,0.16,"[ 5.94386806e-01  8.79530449e-01  1.67770861e-02  1.75262779e+00
  8.68996441e-01  3.73626888e-01  3.24173561e-01  3.39323810e-01
  6.68776119e-01  3.60612490e-01  3.24705202e-01  1.52590005e-01
  3.90594515e-01  3.78311857e-01  3.66003169e+00  9.80817692e-01
  9.45684920e-01  1.21263519e+00  1.38741904e-02  1.38204508e+00
  5.24616807e-02  2.20325248e-02  1.41047885e+00  4.99757635e-01
  9.83751997e-01  2.03735172e-01  5.73798234e-01  6.27931496e-01
  9.73966119e-02  7.29949455e-01  1.05300955e-01  4.89117204e-01
  1.10805958e+00  7.77600512e-01 -1.75306319e-03  7.43600570e-02
  8.71349866e-01  6.70036749e-01  4.01470439e-01  6.83453903e-01
  7.52885941e-01  3.79689198e-01  4.05858539e-01  8.12977828e-01
  1.10197529e-02  8.74263650e-01  9.64048247e-01  1.46221311e-03
  8.20949033e-01  3.60670844e-01  4.66787722e-01  7.02639386e-01
  8.68981047e-01  9.90834030e-01  9.44473731e-01  4.72489953e-01
  2.86766426e+00  8.00996837e-03  5.77020970e-01  3.58060237e-02
  5.87335016e-01  2.77641005e-01  3.75102863e-01  6.86696835e-01
  8.74307881e-01  8.57548856e-01  1.57117831e+00  8.04339700e-01
  5.90715860e-02  6.38915406e-01  8.21710810e-01  5.05457695e-01
  5.39420251e-01  7.91876018e-01  9.08693929e-03  7.77253641e-01
  6.51843457e-01  1.04920473e+00  2.65889839e-01 -4.05833252e-02
  9.17047699e-01  1.13408998e+00  9.11839045e-01  5.08391665e-01
  8.36781407e-01  6.28308383e-01  5.17769046e-02  4.67440852e-01
  6.30889403e-01  1.25735971e+00  1.29412078e-01  6.86328693e-01
  3.57817784e-01 -2.53316865e-03  9.14102520e-01  1.10539192e-02
  1.23990782e+00  2.87097576e+00  3.56076879e-01  2.02644163e-01
  9.00923879e-02  5.87050123e-01  4.87840481e-01  1.19850198e+00
  5.94989884e-01  4.52985840e-01  1.88182495e-01  6.84263122e-02
  2.72268914e+00  5.83366328e-02  2.47216336e-01  3.80890175e-01
  3.17235117e+00  9.13461551e-02  7.39488593e-01  4.96845304e-01
 -4.86995270e-03  2.07052107e-01  7.04284550e-01  5.99530213e-01
  1.06686011e+00  5.94890773e-02  5.20424716e-03  4.29158491e-01
  5.76616761e-01 -7.93897431e-03  8.43659894e-01  5.35106074e-01
  6.65517331e-02  8.94378458e-02  4.20417711e-01  1.34207162e+00
  1.66712487e-01 -1.51054326e-02  7.88070566e-01  4.02044259e-01
  6.18840320e-01  6.33212268e-01  7.78779972e-03  3.59613703e-01
  2.02423344e+00  6.05710922e-01  3.83517076e-02  2.56338091e+00
  3.99677591e-02  5.29958478e-03  4.66309635e+00  2.08635153e-01
  5.39292804e-01  4.13019159e-01  1.65609346e-01  6.56716904e-01
  1.99868388e+00  2.02865037e+00  4.24474768e-01  1.23634688e-01
  3.15580319e-01  5.67356502e-02  6.59754053e-01  6.05123033e-01
  2.67451323e-02  3.83515491e-01  1.94334259e-01  2.82303035e+00
  6.84340959e-01  9.35950361e-01  5.24185805e-01  5.46877100e-01
  4.17836073e+00  5.47015848e-01  2.18090995e-02  5.97639049e-01
 -3.02782072e-03  1.09301925e-01  2.69656924e+00  2.09071249e+00
  1.15525976e+00  5.58640211e-01  6.34876096e-01  3.65803931e+00
  1.11338005e-01 -9.11645444e-04  1.26539146e+00  1.07860512e+00
  6.33179626e-01  5.80312425e-01  7.48043949e-01  1.09253759e-01
  3.21889605e-01  3.55026742e-01  3.44990933e-02  1.14123050e+00
  5.39283634e-02  1.22308718e+00  1.08341727e+00  1.60366596e-02
  9.54859465e-01  1.03809099e+00  9.11693396e-02  2.73785814e-01
  1.83869101e-02  2.31439470e-02  2.16719795e+00  1.45994621e-01
  4.20417425e-02  8.31184707e-02  2.47632925e-02  1.34098728e-03
  5.89102575e-01  1.68851190e-01  1.15689036e+00  4.28313161e-01
  1.97141150e-01  6.00928923e-01  3.53974375e-02  8.34025949e-01
  8.16576191e-01  8.90219351e-01  1.32583493e-01  3.77579739e-01
  4.01463440e-01  6.18547594e-01  8.55953930e-02  1.10813712e+00
  2.09602789e-03  7.32132824e-03  5.92835748e-01  8.59499504e-01
  2.43610097e-01  1.30151193e+00  1.07160190e+00  5.23688412e-01
  2.25095581e-01  3.61866032e-01  4.51535807e-01  4.23744125e-02
  9.95118454e-01  3.92670844e-01  1.13627846e-01  6.14950072e-01
  6.39519890e-02  1.67703873e-01  3.12219372e-02  2.33596770e+00
  1.09124800e+00  1.42649340e+00  7.54487762e-01 -5.23367765e-04
  5.02714215e-01  1.42329895e-02  6.16374321e-01  5.49590036e-02
  7.04249540e-01  1.11527348e+00  1.72773040e+00  5.10259298e-02
  1.16353683e+00  7.76029387e-01  5.26069437e-01  3.95313851e+00
  9.41984459e-02  3.55007722e-01  1.27952731e+00  5.63306272e-01
  4.16033078e-01  5.08083580e-01  2.30729047e-01  1.13274356e-01
  7.57399193e-01  2.66875130e-01  7.76259213e-01  7.60353973e-01
  1.55228158e-02  1.60797576e-02  5.96070623e-01 -3.09358802e-03
  7.70119619e-01  7.84464645e-01  3.32784014e-01  3.17655829e-01
  2.37049690e-01  4.84006901e-01  5.23532593e-02  7.70413416e-01
 -1.28009856e-02  4.78693868e-01  3.32410582e-01 -3.79940433e-03
  3.69940097e+00  2.02242369e-02  1.08456564e-01  6.35648844e-01
  2.20655460e-02  1.19745114e+00  1.86443008e+00  2.53067603e-01
  7.44598736e-01  2.96770971e-01  1.97018005e-03  8.24793335e-01
 -1.19277127e-02  5.07280911e-01  9.93725879e-02  5.13064586e-01
  4.36295579e-01  1.36822497e+00  6.92937241e-01  5.97425095e-01
  5.04470720e+00  8.08831492e-01  1.02575374e+00  1.08541070e+00
  5.64947907e-01  1.35117102e-02  4.17813766e-03  8.33025728e-01
  5.07927947e-01  7.78988898e-01  6.04940089e-01  1.29079522e-01
  8.92602476e-01  2.25855657e-01  1.01059022e+00  4.04759393e-01
  8.32142061e-02  7.67054919e-01  2.37390651e+00  3.76283771e+00
  3.27738142e-02  8.35587943e-01  5.80530794e-02  1.34813212e-01
  6.65075175e-01  8.35100934e-01  8.89511702e-01  5.85349889e-02
  1.08458407e+00  8.84485489e-01  4.93089940e-02  3.20872640e-01
  7.67528830e-01  6.24938509e-01  8.95111001e-02  4.67528105e-02
  4.68537116e-01  2.99369164e-02  2.62586221e-02  2.88696794e-01
  7.62378528e-02  5.69665847e-01 -6.00168711e-04  8.08518168e-01
  2.11225447e-01  6.87928704e-01  1.19828011e+00  1.20824026e+00
  1.36240688e-02  6.85446724e-01  3.72350318e-01  3.92561041e-01
  4.31170757e-01  8.27727458e-03  9.02735707e-01  9.65199473e-02
  5.00790317e-01  4.94934968e-01  1.01945024e-01  2.97774204e+00
  1.36760928e-02  4.56462672e-01  4.69591056e-02  7.09467681e-01
  5.82465234e-01  1.30661078e-02  1.98397036e+00  2.26864667e-02
  2.49774873e-01  1.15028343e+00  6.51619905e-01  5.85984060e-01
  7.42337599e-01  3.31520405e-01  7.66539655e-01  4.22802664e-01
  2.36311373e-01  2.59133518e+00  9.08774885e-02  6.17776536e-01
  5.03939607e-01  1.92044271e+00  6.16233651e-02  6.53279442e-01]"
Ridge,0.465,0.33,0.59,"[ 0.73703962  1.01157847  0.13125682  1.36460365  0.88631105  0.55095476
  0.36835691  0.33455855  0.82683869  0.60749558  0.35146357  0.06363985
  0.59425897  0.68456421  1.94149616  1.04269222  0.85878855  1.14737745
  0.09125708  1.39253992 -0.03147249  0.87084213  0.87656612  0.68385542
  0.92337508  0.06565753  0.90015978  0.56754293  0.50285561  0.6507084
  0.86475118  0.36510133  1.10443614  0.96752082 -0.17983353 -0.02660561
  0.81246003  0.68547398  0.69548383  0.75436297  0.88680437  0.67981212
  0.22144469  0.9453266   0.27880388  2.90986683  1.35774927 -0.08624303
  0.94065423  0.62531194  0.66172647  0.83771358  0.95250954  0.9103078
  1.21515331  1.15371027  1.75892935  0.66487075  1.00853884  0.25508791
  0.56724563  0.48783489  0.70286369  0.56085616  0.77173757  0.91505824
  1.43577955  0.70724562 -0.06545317  0.86415659  0.94147417  0.83606555
  0.49822777  1.01121369  0.32472994  1.00576986  0.86647367  1.14306301
  0.19225048 -0.61143352  1.14932121  1.12727405  1.10126238  0.70144291
  1.01681475  0.76742799  0.01482366  0.45547244  0.80754736  1.19636444
  0.09535061  0.77207852 -0.01865909 -0.28226417  0.75973943  0.31087148
  1.13556496  1.68794115  0.62805477  0.83707666  0.39846957  0.5780079
  0.45393996  0.9517751   0.59957294  0.3433702   1.63081439 -0.2457117
  0.98986605  0.55962413  1.01653372  0.44017616  1.32590771  0.43024411
  0.77605311  0.24298651 -0.60215968 -0.15317974  0.81042485  0.45303494
  1.08304871  0.40559794  0.47640798  0.54401725  0.80652913 -0.70477846
  1.12130714  0.70405628  0.61091031  0.20282166  1.09510902  1.92097838
  0.38403778 -0.51148646  1.19812074  0.49627268  0.73217402  0.49458306
 -0.9962853   0.34930749  1.34441727  0.77861858  0.30387926  1.41818955
 -0.44510913 -0.22713531  1.47907424 -0.07468501  0.760322    0.30439129
  1.08019875  0.67150154  1.53595197  1.56984239  0.93935321  0.47749734
  0.30383151  0.25914611  0.81314851  0.69441889  0.14440869  0.69162273
  1.01759302  0.4937907   0.81484972  1.0697336   0.56570529  1.0330672
  2.6603797   0.37511647 -0.00803675  0.80454661 -0.62666693  0.89639511
  1.42811273  1.17411636  0.91377173  0.84229505  0.84609853  1.56358704
  0.08607054  0.15564634  1.1128221   0.92462449  0.62538398  0.46254355
  0.8244272  -0.26297903  0.69204564  0.3355373  -0.19798656  1.07820379
 -0.01453587  1.33248425  0.98695869  0.11745603  1.01263807  1.00274838
  0.25549503  0.11699829 -0.43426709 -0.20807706  1.61677849  0.84747804
 -0.18937347  0.86612888 -0.03342363 -0.46203465  0.5835106   0.74809285
